Persian lemmas,Persian Gloss,English lemma (or gap),English gloss
"ندیده، نبینه",فرزند نبیره,GAP,
نتیجه,فرزند نوه,GAP,
جد,پدربزرگ پدر یا مادر,GAP,
نبیره,فرزند نتیجه,GAP,
عمو,برادر پدر,GAP,
خاله,خواهر مادر,GAP,
عمه,خواهر پدر,GAP,
دایی,برادر مادر,GAP,
پسر,فرزند مذکر,son,male child
دختر,فرزند مونث,daughter,female child
فرزند,دختر یا پسر,child,
برادرزاده,فرزند برادر,GAP,
پسرعمو,فرزند مذکر عمو,GAP,
خواهرزاده,فرزند خواهر,GAP,
پسردائی,فرزند مذکر دائی,GAP,
پسرخاله,فرزند مذکر خاله,GAP,
پسرعمه,فرزند مذکر عمه,GAP,
دخترعمو,فرزند مونث عمو,GAP,
دخترعمه,فرزند مونث عمه,GAP,
دختردائی,فرزند مونث دائی,GAP,
عموزاده,فرزند عمو,GAP,
عمه زاده,فرزند عمه,GAP,
خاله زاده,فرزند خاله,GAP,
دخترخاله,فرزند دایی,GAP,
دایی زاده,مادر یا مادربزرگ,GAP,
ننه,مادر یا مادربزرگ,GAP,
برادر تنی,برادر با پدر و مادر یکسان با شما,GAP,
خواهر تنی,خواهر با پدر و مادر یکسان با شما,GAP,
برادر رضاعی,شخص مذکری که هردو از یک سینه شیر خورده‌اید,GAP,
خواهر رضاعی,شخص مونثی که هردو از یک سینه شیر خورده‌اید,GAP,
