Arabic lemma,Arabic gloss,Persian lemmas (or gap),Persian Gloss
جَدّ,أَبو الأَب أو أَبو الأُم,پدربزرگ,پدر والد
جَدَّة,أمّ الأب أو أمّ الأمّ,مادربزرگ,مادر والد
حَفِيد,وَلَدُ الوَلَد أو وَلَدُ البِنْت,GAP,
حَفِيدَة,بِنْتُ الوَلَد أو بِنْتُ البِنْت,GAP,
اَخُ من النسَب,الأَخُ مِن نَفسْ الأُم والأَب أو مِن كِلاهُما,"برادر، داداش",برادر
اَخُت من النسَب,الأَخُت مِن نَفسْ الأُم والأَب أو مِن كِلاهُما,"خواهر، آبجی",خواهر
عَمَّ,أَخو الأُب,عمو,برادر پدر
خَالٍ,أَخو الأُمّ,دایی,برادر مادر
خَالَة,أَختُ الأُمّ,خاله,خواهر مادر
اِبْنُ الأَخٍ,اِبْنُ الأَخُ مِن نَفسْ الأُم والأَب أو مِن كِلاهُما,GAP,
اِبْنُ الأُخْت,اِبْنُ الأَخُت مِن نَفسْ الأُم والأَب أو مِن كِلاهُما,GAP,
عَمَّة,أَختُ الأُب,عمه,خواهر پدر
بِنْتُ الأَخٍ,بِنْتُ الأَخُ مِن نَفسْ الأُم والأَب أو مِن كِلاهُما,GAP,
بِنْتُ الأُخْت,بِنْتُ الأَخُت مِن نَفسْ الأُم والأَب أو مِن كِلاهُما,GAP,
بِنْت العَمّ,بنتُ أَخُ الأُبْ,دخترعمو,فرزند مونث عمو
اِبْن العَمّ,ابنُ أَخُ الأُبْ,پسرعمو,فرزند مذکر عمو
اِبْن العَمَّة,ابنُ أَخت الأُبْ,پسرعمه,فرزند مذکر عمه
اِبْن الخَال,ابنُ أَخُ الأُمّ,پسردائی,فرزند مذکر دائی
بِنْت الخَال,بنتُ أَخُ الأُمّ,دختردائی,فرزند مونث دائی
بِنْت العَمَّة,بنتُ أَخت الأُبْ,دخترعمه,فرزند مونث عمه
اِبْن الخَالَة,ابنُ أَختْ الأُمّ,پسرخاله,فرزند مذکر خاله
أَخْ,الذَكَرُ الذي لَه نَفسْ الأَب أو الأَم أو كِلا الوالِدين كَشخص آخر أو له نَفس المرأَة المُرضِعة,GAP,
بِنْت الخَالَة,بنتُ أَخت الأُمّ,دخترخاله,فرزند مونث خاله
أَخٌ لأب,الذَكَرُ الذي لَه نَفسْ الأَب كَشخص آخر,GAP,
شَقِيق,الذَكَرُ الذي لَه نَفسْ الأَب و الأَم كَشخص آخر,برادر تنی,برادر با پدر و مادر یکسان با شما
أخ من الرضاعة,الذكر الذي له نفس المرأة المُرضعة مثل شخص آخر,برادر رضاعی,شخص مذکری که هردو از یک سینه شیر خورده‌اید
أَخٌ لأمّ,الذَكَرُ الذي لَه نَفسْ الأَم كَشخص آخر,GAP,
أخت من الرضاعة,الأُنثى التي لَها نفس المرأة المُرضعة مثل شخص آخر,خواهر رضاعی,شخص مونثی که هردو از یک سینه شیر خورده‌اید
أُخْت,الأُنثى التي لَها نَفسْ الأَب أو الأَم أو كِلا الوالِدين كَشخص آخر أو لها نَفس المرأَة المُرضِعة,GAP,
شَقِيقَة,الأُنثى التي لَها نَفسْ الأَب و الأَم كَشخص آخر,خواهر تنی,خواهر با پدر و مادر یکسان با شما
أَخٌت لأب,الأُنثى التي لَها نَفسْ الأَب كَشخص آخر,GAP,
أَخٌت لأمّ,الأُنثى التي لَها نَفسْ الأَم كَشخص آخر,GAP,
اِبْنُ الشَقِيق,اِبْن الأخُ الذي لَه نَفسْ الأَب و الأَم كَشخص آخر,GAP,
اِبْنُ الشَقِيقَة,اِبْن الأخُت التي لَها نَفسْ الأَب و الأَم كَشخص آخر,GAP,
بِنْتُ الشَقِيقَة,بْنتُ الأخُت التي لَها نَفسْ الأَب و الأَم كَشخص آخر,GAP,
بِنْتُ الشَقِيق,بْنتُ الأخُ الذي لَه نَفسْ الأَب و الأَم كَشخص آخر,GAP,
أم,أم,مادر,والد مونث
أب,أب,پدر,والد مذکر
